#Wavelength (nm)	Absorption Cross Section (cm^2*molecules^-1)
213.33	7.340696493330269774e-19
213.34	7.316924058839260006e-19
213.35	7.293712259769509921e-19
213.36	7.271380356702009831e-19
213.37	7.250242933331040443e-19
213.38	7.230603330466579915e-19
213.39	7.212747181721839743e-19
213.40	7.196936215502829918e-19
213.41	7.183402484023599886e-19
213.42	7.172343171579290067e-19
213.43	7.163916121393590152e-19
213.44	7.158236203328040245e-19
213.45	7.155372624037850039e-19
213.46	7.155347257342690169e-19
213.47	7.158134046307510283e-19
213.48	7.163659500542600135e-19
213.49	7.171804283334230333e-19
213.50	7.182405854244330055e-19
213.51	7.195262104617110479e-19
213.52	7.210135896832439952e-19
213.53	7.226760393935860143e-19
213.54	7.244845045175479777e-19
213.55	7.264082075611909902e-19
213.56	7.284153314859290458e-19
213.57	7.304737191551740190e-19
213.58	7.325515716560100193e-19
213.59	7.346181279409539933e-19
213.60	7.366443088718310280e-19
213.61	7.386033098588720066e-19
213.62	7.404711278385810241e-19
213.63	7.422270102758850173e-19
213.64	7.438538161491979986e-19
213.65	7.453382814120290028e-19
213.66	7.466711841432170135e-19
213.67	7.478474074180350042e-19
213.68	7.488659007677770041e-19
213.69	7.497295438614529666e-19
213.70	7.504449186574049545e-19
213.71	7.510219986576659607e-19
213.72	7.514737659853230348e-19
213.73	7.518157687355560200e-19
213.74	7.520656323776709651e-19
213.75	7.522425398745250067e-19
213.76	7.523666956177740376e-19
213.77	7.524587882478250343e-19
213.78	7.525394669462529605e-19
213.79	7.526288448805340436e-19
213.80	7.527460421835139842e-19
213.81	7.529087792136009807e-19
213.82	7.531330289254449920e-19
213.83	7.534327350534180219e-19
213.84	7.538196005448859586e-19
213.85	7.543029483540700020e-19
213.86	7.548896543976019825e-19
213.87	7.555841502548340468e-19
213.88	7.563884911406459952e-19
213.89	7.573024828491020012e-19
213.90	7.583238598183029674e-19
213.91	7.594485052436429776e-19
213.92	7.606707033006340277e-19
213.93	7.619834130484409638e-19
213.94	7.633785534766229960e-19
213.95	7.648472894224469702e-19
213.96	7.663803087034509915e-19
213.97	7.679680817469280090e-19
213.98	7.696010962106560416e-19
213.99	7.712700605254210337e-19
214.00	7.729660718896019617e-19
214.01	7.746807459453129815e-19
214.02	7.764063070977730211e-19
214.03	7.781356401379370172e-19
214.04	7.798623054292509584e-19
214.05	7.815805213635769828e-19
214.06	7.832851190263139568e-19
214.07	7.849714749935980197e-19
214.08	7.866354288816050084e-19
214.09	7.882731926578239987e-19
214.10	7.898812587969009532e-19
