#Altitude (km)	Number Density (molecules*cm^-3)
1.999	6.8e11
3.997	5.8e11
5.994	5.7e11
7.99	6.5e11
9.984	1.13e12
11.977	2.02e12
13.969	2.35e12
15.96	2.95e12
17.949	4.04e12
19.937	4.77e12
21.924	4.86e12
23.91	4.54e12
25.894	4.03e12
27.877	3.24e12
29.859	2.52e12
31.84	2.03e12
33.819	1.58e12
35.797	1.22e12
37.774	8.73e11
39.75	6.07e11
41.724	3.98e11
43.698	2.74e11
45.669	1.69e11
47.64	1.03e11
49.61	6.64e10
51.578	3.84e10
53.545	2.55e10
55.511	1.61e10
57.476	1.12e10
59.439	7.33e9
61.401	4.81e9
63.362	3.17e9
65.322	1.72e9
67.28	7.5e8
69.238	5.4e8
71.194	2.2e8
73.148	1.7e8
